feature,importance
B,0.2622835642723827
RT,0.11704823199316264
Up,0.08275248813100726
A,0.07249443774380449
standing_right,0.06300645914007816
Down,0.05671033307237209
RB,0.05078093032658277
body_right,0.04993407990341946
DownRight,0.042095039732548085
UpLeft,0.039063073753934176
UpRight,0.03688714061388377
LT,0.0360275022637778
Right,0.035138390413271325
body_left,0.027527162761590455
DownLeft,0.007856196836627385
Left,0.007249599323666399
Right_Kick,0.007000667470614276
standing_left,0.0035849941566199837
LB,0.001961715071696741
Jump_Punch,0.000597993018960114
SELECT,0.0
START,0.0
Left_Jump,0.0
Right_Jump,0.0
Left_Kick,0.0
Punch_Kick,0.0
Shoryuken,0.0
Hadoken,0.0
