user,accuracy,accuracy_percent,test_samples
kotaro,0.5273435071797103,52.73,128696
jin,0.5229411388150946,52.29,124972
ryo,0.2832595653533755,28.33,105511
keita,0.17970254552388215,17.97,104890
nakamura,0.008164058703469725,0.82,30867
akira,0.00020490834292199298,0.02,63443
-2658,0.0,0.0,2
0,0.0,0.0,17
104,0.0,0.0,2
11,0.0,0.0,3
121,0.0,0.0,1
125,0.0,0.0,1
01,0.0,0.0,1
015,0.0,0.0,1
05,0.0,0.0,1
1,0.0,0.0,12
1760,0.0,0.0,3
178,0.0,0.0,1
19,0.0,0.0,1
191,0.0,0.0,1
2,0.0,0.0,10
201,0.0,0.0,1
22,0.0,0.0,1
231,0.0,0.0,1
2602,0.0,0.0,1
280,0.0,0.0,1
28218,0.0,0.0,1
28220,0.0,0.0,1
163,0.0,0.0,2
164,0.0,0.0,1
16702,0.0,0.0,4
16831,0.0,0.0,2
-1350,0.0,0.0,1
-16628,0.0,0.0,1
34,0.0,0.0,2
33,0.0,0.0,1
31,0.0,0.0,1
3,0.0,0.0,4
29,0.0,0.0,1
28237,0.0,0.0,1
36,0.0,0.0,2
371,0.0,0.0,1
50,0.0,0.0,1
57,0.0,0.0,1
38,0.0,0.0,2
39,0.0,0.0,1
4,0.0,0.0,7
47,0.0,0.0,1
49,0.0,0.0,2
5,0.0,0.0,5
647,0.0,0.0,1
6481,0.0,0.0,1
65,0.0,0.0,2
66,0.0,0.0,1
6643,0.0,0.0,1
6794,0.0,0.0,1
68,0.0,0.0,1
6985,0.0,0.0,1
6991,0.0,0.0,1
7,0.0,0.0,9
59,0.0,0.0,1
6,0.0,0.0,7
60,0.0,0.0,4
62,0.0,0.0,1
628,0.0,0.0,1
6364,0.0,0.0,1
799,0.0,0.0,1
78,0.0,0.0,2
76,0.0,0.0,2
72,0.0,0.0,1
702,0.0,0.0,1
70,0.0,0.0,1
8,0.0,0.0,10
8128,0.0,0.0,2
8458,0.0,0.0,1
85,0.0,0.0,2
8164,0.0,0.0,1
8197,0.0,0.0,1
8232,0.0,0.0,1
8233,0.0,0.0,1
829,0.0,0.0,1
844,0.0,0.0,1
89,0.0,0.0,1
888,0.0,0.0,1
88,0.0,0.0,1
87,0.0,0.0,1
861,0.0,0.0,1
857,0.0,0.0,1
9,0.0,0.0,4
90,0.0,0.0,1
97,0.0,0.0,2
963,0.0,0.0,1
94,0.0,0.0,1
923,0.0,0.0,1
92,0.0,0.0,1
906,0.0,0.0,1
976,0.0,0.0,1
yamaguti,0.0,0.0,30797
