feature,importance
B,0.2622993160057289
RT,0.11700054208354391
Up,0.08274696118290197
A,0.07248723848682073
standing_right,0.06300020211257228
Down,0.056704701298761186
RB,0.05075422488071414
body_right,0.049929541589442614
DownRight,0.04207187932970028
UpLeft,0.039086460306424
UpRight,0.03691765698556906
LT,0.036028838763424824
Right,0.03513490090000032
body_left,0.027589175754948597
DownLeft,0.00785541665566865
Left,0.007248879382520778
Right_Kick,0.006999972250322246
standing_left,0.003584638139040952
LB,0.0019615202582549153
Jump_Punch,0.00059793363363964
SELECT,0.0
START,0.0
Left_Jump,0.0
Right_Jump,0.0
Left_Kick,0.0
Punch_Kick,0.0
Shoryuken,0.0
Hadoken,0.0
