[jin] Timestamp: 2025-10-29 15:21:28.507822, Code: BTN_SOUTH, State: 1
[keita] Timestamp: 2025-10-29 15:21:47.456051, Code: BTN_EAST, State: 1
[keita] Timestamp: 2025-10-29 15:21:48.647841, Code: BTN_SOUTH, State: 1
[jin] Timestamp: 2025-10-29 15:21:51.856165, Code: ABS_HAT0Y, State: 1
[jin] Timestamp: 2025-10-29 15:21:51.945583, Code: ABS_HAT0X, State: 1
[keita] Timestamp: 2025-10-29 15:21:52.243576, Code: BTN_WEST, State: 1
[jin] Timestamp: 2025-10-29 15:21:52.256644, Code: ABS_HAT0X, State: -1
[keita] Timestamp: 2025-10-29 15:21:52.399550, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:21:52.915496, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:21:52.943466, Code: BTN_TR, State: 1
[keita] Timestamp: 2025-10-29 15:21:53.167902, Code: BTN_WEST, State: 1
[jin] Timestamp: 2025-10-29 15:21:53.244413, Code: ABS_HAT0Y, State: 1
[jin] Timestamp: 2025-10-29 15:21:53.527877, Code: ABS_HAT0X, State: 1
[jin] Timestamp: 2025-10-29 15:21:53.661426, Code: ABS_HAT0X, State: -1
[jin] Timestamp: 2025-10-29 15:21:53.876523, Code: ABS_HAT0Y, State: 1
[jin] Timestamp: 2025-10-29 15:21:53.950443, Code: ABS_HAT0X, State: 1
[jin] Timestamp: 2025-10-29 15:21:53.997395, Code: BTN_NORTH, State: 1
[jin] Timestamp: 2025-10-29 15:21:54.249148, Code: ABS_HAT0X, State: -1
[jin] Timestamp: 2025-10-29 15:21:54.697373, Code: ABS_HAT0Y, State: 1
[jin] Timestamp: 2025-10-29 15:21:54.765208, Code: BTN_EAST, State: 1
[jin] Timestamp: 2025-10-29 15:21:55.078048, Code: ABS_HAT0X, State: -1
[keita] Timestamp: 2025-10-29 15:21:55.187136, Code: BTN_WEST, State: 1
[jin] Timestamp: 2025-10-29 15:21:55.348676, Code: BTN_TL, State: 1
[keita] Timestamp: 2025-10-29 15:21:55.395241, Code: BTN_WEST, State: 1
[jin] Timestamp: 2025-10-29 15:21:55.554581, Code: ABS_HAT0X, State: 1
[keita] Timestamp: 2025-10-29 15:21:55.579549, Code: BTN_WEST, State: 1
[jin] Timestamp: 2025-10-29 15:21:55.641557, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:21:55.747143, Code: BTN_WEST, State: 1
[jin] Timestamp: 2025-10-29 15:21:55.849056, Code: ABS_HAT0X, State: -1
[keita] Timestamp: 2025-10-29 15:21:55.899685, Code: BTN_WEST, State: 1
[jin] Timestamp: 2025-10-29 15:21:55.923171, Code: ABS_HAT0Y, State: 1
[keita] Timestamp: 2025-10-29 15:21:56.028064, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:21:56.179323, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:21:56.515121, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:21:56.699673, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:21:56.895091, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:21:57.119915, Code: BTN_NORTH, State: 1
[keita] Timestamp: 2025-10-29 15:21:57.327447, Code: BTN_NORTH, State: 1
[jin] Timestamp: 2025-10-29 15:21:57.391407, Code: ABS_HAT0Y, State: 1
[keita] Timestamp: 2025-10-29 15:21:57.467429, Code: BTN_NORTH, State: 1
[keita] Timestamp: 2025-10-29 15:21:57.763538, Code: BTN_WEST, State: 1
[jin] Timestamp: 2025-10-29 15:21:57.764537, Code: ABS_HAT0X, State: -1
[keita] Timestamp: 2025-10-29 15:21:57.971930, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:21:58.139450, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:21:58.307611, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:21:58.447687, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:21:58.659696, Code: BTN_WEST, State: 1
[jin] Timestamp: 2025-10-29 15:21:58.660697, Code: ABS_HAT0X, State: -1
[jin] Timestamp: 2025-10-29 15:21:58.661695, Code: ABS_HAT0Y, State: 1
