[jin] Timestamp: 2025-10-29 15:32:57.586570, Code: BTN_SOUTH, State: 1
[keita] Timestamp: 2025-10-29 15:32:58.653623, Code: BTN_SOUTH, State: 1
[jin] Timestamp: 2025-10-29 15:33:01.860331, Code: ABS_HAT0X, State: 1
[jin] Timestamp: 2025-10-29 15:33:02.230624, Code: ABS_HAT0Y, State: -1
[keita] Timestamp: 2025-10-29 15:33:02.382039, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:33:02.573250, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:33:02.782033, Code: BTN_WEST, State: 1
[jin] Timestamp: 2025-10-29 15:33:02.815996, Code: BTN_NORTH, State: 1
[jin] Timestamp: 2025-10-29 15:33:02.999803, Code: ABS_HAT0Y, State: 1
[keita] Timestamp: 2025-10-29 15:33:03.033767, Code: BTN_WEST, State: 1
[jin] Timestamp: 2025-10-29 15:33:03.074724, Code: ABS_HAT0X, State: -1
[keita] Timestamp: 2025-10-29 15:33:03.201591, Code: BTN_WEST, State: 1
[jin] Timestamp: 2025-10-29 15:33:03.299996, Code: BTN_NORTH, State: 1
[keita] Timestamp: 2025-10-29 15:33:03.341460, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:33:03.469832, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:33:03.693581, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:33:03.929908, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:33:04.141583, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:33:04.461561, Code: BTN_NORTH, State: 1
[jin] Timestamp: 2025-10-29 15:33:04.560641, Code: BTN_NORTH, State: 1
[keita] Timestamp: 2025-10-29 15:33:04.657669, Code: BTN_NORTH, State: 1
[jin] Timestamp: 2025-10-29 15:33:04.724599, Code: BTN_NORTH, State: 1
[keita] Timestamp: 2025-10-29 15:33:04.825493, Code: BTN_NORTH, State: 1
[jin] Timestamp: 2025-10-29 15:33:05.005336, Code: ABS_HAT0X, State: -1
[jin] Timestamp: 2025-10-29 15:33:05.007333, Code: ABS_HAT0Y, State: 1
[keita] Timestamp: 2025-10-29 15:33:05.009331, Code: BTN_NORTH, State: 1
[jin] Timestamp: 2025-10-29 15:33:05.256594, Code: BTN_EAST, State: 1
[jin] Timestamp: 2025-10-29 15:33:05.452406, Code: BTN_EAST, State: 1
[jin] Timestamp: 2025-10-29 15:33:05.621243, Code: BTN_EAST, State: 1
[jin] Timestamp: 2025-10-29 15:33:05.784088, Code: BTN_EAST, State: 1
[keita] Timestamp: 2025-10-29 15:33:06.521768, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:33:06.689267, Code: BTN_WEST, State: 1
[jin] Timestamp: 2025-10-29 15:33:06.778529, Code: ABS_HAT0Y, State: 1
[keita] Timestamp: 2025-10-29 15:33:06.857460, Code: BTN_WEST, State: 1
[jin] Timestamp: 2025-10-29 15:33:06.884431, Code: BTN_EAST, State: 1
[keita] Timestamp: 2025-10-29 15:33:06.969343, Code: BTN_WEST, State: 1
[jin] Timestamp: 2025-10-29 15:33:07.032277, Code: BTN_TL, State: 1
[jin] Timestamp: 2025-10-29 15:33:07.230084, Code: ABS_HAT0Y, State: 1
[keita] Timestamp: 2025-10-29 15:33:07.233080, Code: BTN_NORTH, State: 1
[jin] Timestamp: 2025-10-29 15:33:07.238075, Code: ABS_HAT0X, State: -1
[jin] Timestamp: 2025-10-29 15:33:07.405406, Code: BTN_EAST, State: 1
[keita] Timestamp: 2025-10-29 15:33:07.429381, Code: BTN_NORTH, State: 1
[jin] Timestamp: 2025-10-29 15:33:07.567757, Code: BTN_TL, State: 1
[keita] Timestamp: 2025-10-29 15:33:07.569755, Code: BTN_NORTH, State: 1
[keita] Timestamp: 2025-10-29 15:33:07.753563, Code: BTN_NORTH, State: 1
[jin] Timestamp: 2025-10-29 15:33:08.012719, Code: BTN_EAST, State: 1
[keita] Timestamp: 2025-10-29 15:33:08.173710, Code: BTN_NORTH, State: 1
[keita] Timestamp: 2025-10-29 15:33:08.369704, Code: BTN_NORTH, State: 1
[keita] Timestamp: 2025-10-29 15:33:08.549411, Code: BTN_NORTH, State: 1
[jin] Timestamp: 2025-10-29 15:33:08.552388, Code: ABS_HAT0Y, State: 1
[jin] Timestamp: 2025-10-29 15:33:08.629247, Code: BTN_EAST, State: 1
[keita] Timestamp: 2025-10-29 15:33:08.761397, Code: BTN_NORTH, State: 1
[jin] Timestamp: 2025-10-29 15:33:08.790892, Code: ABS_HAT0X, State: 1
[jin] Timestamp: 2025-10-29 15:33:08.876571, Code: BTN_EAST, State: 1
[keita] Timestamp: 2025-10-29 15:33:08.901545, Code: BTN_TR, State: 1
[keita] Timestamp: 2025-10-29 15:33:09.153801, Code: BTN_NORTH, State: 1
[keita] Timestamp: 2025-10-29 15:33:09.165296, Code: BTN_TR, State: 1
[jin] Timestamp: 2025-10-29 15:33:09.179282, Code: ABS_HAT0X, State: -1
[jin] Timestamp: 2025-10-29 15:33:09.211248, Code: ABS_HAT0Y, State: 1
[keita] Timestamp: 2025-10-29 15:33:09.361105, Code: BTN_TR, State: 1
[keita] Timestamp: 2025-10-29 15:33:09.361105, Code: BTN_NORTH, State: 1
[jin] Timestamp: 2025-10-29 15:33:09.630330, Code: ABS_HAT0X, State: -1
[jin] Timestamp: 2025-10-29 15:33:09.722233, Code: ABS_HAT0X, State: -1
[jin] Timestamp: 2025-10-29 15:33:09.814153, Code: ABS_HAT0X, State: -1
[keita] Timestamp: 2025-10-29 15:33:10.033453, Code: BTN_WEST, State: 1
[jin] Timestamp: 2025-10-29 15:33:10.153089, Code: ABS_HAT0Y, State: -1
[jin] Timestamp: 2025-10-29 15:33:10.166075, Code: ABS_HAT0X, State: 1
[keita] Timestamp: 2025-10-29 15:33:10.201145, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:33:10.385708, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:33:10.537464, Code: BTN_WEST, State: 1
[jin] Timestamp: 2025-10-29 15:33:10.603507, Code: ABS_HAT0X, State: -1
[keita] Timestamp: 2025-10-29 15:33:10.693943, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:33:10.861274, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:33:11.153046, Code: BTN_WEST, State: 1
[jin] Timestamp: 2025-10-29 15:33:11.261436, Code: ABS_HAT0Y, State: -1
[keita] Timestamp: 2025-10-29 15:33:11.365346, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:33:11.489216, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:33:11.657040, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:33:11.813398, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:33:12.049150, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:33:12.121078, Code: BTN_WEST, State: 1
[jin] Timestamp: 2025-10-29 15:33:12.151350, Code: ABS_HAT0Y, State: 1
[keita] Timestamp: 2025-10-29 15:33:12.273796, Code: BTN_WEST, State: 1
[jin] Timestamp: 2025-10-29 15:33:12.329271, Code: BTN_EAST, State: 1
[keita] Timestamp: 2025-10-29 15:33:12.345254, Code: BTN_WEST, State: 1
[jin] Timestamp: 2025-10-29 15:33:12.508100, Code: BTN_TL, State: 1
[keita] Timestamp: 2025-10-29 15:33:12.581418, Code: BTN_NORTH, State: 1
[keita] Timestamp: 2025-10-29 15:33:12.709093, Code: BTN_NORTH, State: 1
[keita] Timestamp: 2025-10-29 15:33:12.889853, Code: BTN_EAST, State: 1
[jin] Timestamp: 2025-10-29 15:33:12.934462, Code: BTN_EAST, State: 1
[keita] Timestamp: 2025-10-29 15:33:13.101366, Code: BTN_EAST, State: 1
[jin] Timestamp: 2025-10-29 15:33:13.180895, Code: ABS_HAT0Y, State: 1
[keita] Timestamp: 2025-10-29 15:33:13.241831, Code: BTN_EAST, State: 1
[keita] Timestamp: 2025-10-29 15:33:13.409655, Code: BTN_EAST, State: 1
[jin] Timestamp: 2025-10-29 15:33:13.494566, Code: BTN_EAST, State: 1
[keita] Timestamp: 2025-10-29 15:33:13.561496, Code: BTN_EAST, State: 1
[keita] Timestamp: 2025-10-29 15:33:13.717333, Code: BTN_EAST, State: 1
[jin] Timestamp: 2025-10-29 15:33:13.726324, Code: BTN_TR, State: 1
[keita] Timestamp: 2025-10-29 15:33:13.857186, Code: BTN_EAST, State: 1
[jin] Timestamp: 2025-10-29 15:33:13.858185, Code: BTN_TR, State: 1
[keita] Timestamp: 2025-10-29 15:33:14.009040, Code: BTN_EAST, State: 1
[keita] Timestamp: 2025-10-29 15:33:14.176864, Code: BTN_EAST, State: 1
[keita] Timestamp: 2025-10-29 15:33:14.261775, Code: BTN_EAST, State: 1
[jin] Timestamp: 2025-10-29 15:33:14.565786, Code: BTN_NORTH, State: 1
[jin] Timestamp: 2025-10-29 15:33:14.692239, Code: BTN_NORTH, State: 1
[jin] Timestamp: 2025-10-29 15:33:14.833346, Code: BTN_NORTH, State: 1
[keita] Timestamp: 2025-10-29 15:33:14.865618, Code: BTN_SOUTH, State: 1
[jin] Timestamp: 2025-10-29 15:33:15.068236, Code: ABS_HAT0X, State: 1
[keita] Timestamp: 2025-10-29 15:33:15.089198, Code: BTN_SOUTH, State: 1
[keita] Timestamp: 2025-10-29 15:33:15.257146, Code: BTN_SOUTH, State: 1
[keita] Timestamp: 2025-10-29 15:33:15.493652, Code: BTN_SOUTH, State: 1
[jin] Timestamp: 2025-10-29 15:33:15.620519, Code: BTN_NORTH, State: 1
[jin] Timestamp: 2025-10-29 15:33:15.782349, Code: BTN_NORTH, State: 1
[jin] Timestamp: 2025-10-29 15:33:15.942182, Code: BTN_NORTH, State: 1
[jin] Timestamp: 2025-10-29 15:33:16.114001, Code: ABS_HAT0Y, State: 1
[jin] Timestamp: 2025-10-29 15:33:16.134980, Code: ABS_HAT0X, State: 1
[jin] Timestamp: 2025-10-29 15:33:16.315790, Code: ABS_HAT0Y, State: -1
[keita] Timestamp: 2025-10-29 15:33:16.517008, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:33:16.669155, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:33:16.853408, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:33:17.049765, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:33:17.216953, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:33:17.368895, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:33:17.593693, Code: BTN_WEST, State: 1
[jin] Timestamp: 2025-10-29 15:33:17.681601, Code: BTN_TL, State: 1
[keita] Timestamp: 2025-10-29 15:33:17.789488, Code: BTN_THUMBL, State: 1
[keita] Timestamp: 2025-10-29 15:33:17.789488, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:33:17.985284, Code: BTN_WEST, State: 1
[jin] Timestamp: 2025-10-29 15:33:18.078185, Code: ABS_HAT0Y, State: 1
[keita] Timestamp: 2025-10-29 15:33:18.125136, Code: BTN_WEST, State: 1
[jin] Timestamp: 2025-10-29 15:33:18.139121, Code: ABS_HAT0X, State: 1
[keita] Timestamp: 2025-10-29 15:33:18.264989, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:33:18.460798, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:33:18.741016, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:33:18.825215, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:33:19.065130, Code: BTN_NORTH, State: 1
[jin] Timestamp: 2025-10-29 15:33:19.128914, Code: ABS_HAT0X, State: 1
[jin] Timestamp: 2025-10-29 15:33:19.147894, Code: ABS_HAT0Y, State: 1
[keita] Timestamp: 2025-10-29 15:33:19.217112, Code: BTN_NORTH, State: 1
[jin] Timestamp: 2025-10-29 15:33:19.672449, Code: BTN_TL, State: 1
[keita] Timestamp: 2025-10-29 15:33:19.693427, Code: BTN_WEST, State: 1
[jin] Timestamp: 2025-10-29 15:33:19.918191, Code: ABS_HAT0X, State: 1
[keita] Timestamp: 2025-10-29 15:33:20.045059, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:33:20.212885, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:33:20.364723, Code: BTN_WEST, State: 1
[jin] Timestamp: 2025-10-29 15:33:20.421170, Code: BTN_TL, State: 1
[keita] Timestamp: 2025-10-29 15:33:20.477618, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:33:20.617471, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:33:20.869136, Code: BTN_WEST, State: 1
[jin] Timestamp: 2025-10-29 15:33:20.880126, Code: BTN_EAST, State: 1
[keita] Timestamp: 2025-10-29 15:33:21.065153, Code: BTN_WEST, State: 1
[jin] Timestamp: 2025-10-29 15:33:21.180712, Code: ABS_HAT0Y, State: 1
[keita] Timestamp: 2025-10-29 15:33:21.317238, Code: BTN_NORTH, State: 1
[jin] Timestamp: 2025-10-29 15:33:21.467290, Code: BTN_EAST, State: 1
[keita] Timestamp: 2025-10-29 15:33:21.513235, Code: BTN_NORTH, State: 1
[jin] Timestamp: 2025-10-29 15:33:21.623324, Code: ABS_HAT0X, State: -1
[keita] Timestamp: 2025-10-29 15:33:21.681278, Code: BTN_NORTH, State: 1
[jin] Timestamp: 2025-10-29 15:33:21.756199, Code: BTN_NORTH, State: 1
[keita] Timestamp: 2025-10-29 15:33:21.837635, Code: BTN_NORTH, State: 1
[keita] Timestamp: 2025-10-29 15:33:22.005459, Code: BTN_NORTH, State: 1
[jin] Timestamp: 2025-10-29 15:33:22.138828, Code: ABS_HAT0X, State: -1
[keita] Timestamp: 2025-10-29 15:33:22.285200, Code: BTN_NORTH, State: 1
[keita] Timestamp: 2025-10-29 15:33:22.341141, Code: BTN_TR, State: 1
[jin] Timestamp: 2025-10-29 15:33:22.588916, Code: BTN_NORTH, State: 1
[keita] Timestamp: 2025-10-29 15:33:22.648853, Code: BTN_TR, State: 1
[keita] Timestamp: 2025-10-29 15:33:22.660840, Code: BTN_NORTH, State: 1
[jin] Timestamp: 2025-10-29 15:33:22.717311, Code: BTN_NORTH, State: 1
[jin] Timestamp: 2025-10-29 15:33:22.846799, Code: BTN_NORTH, State: 1
[keita] Timestamp: 2025-10-29 15:33:22.873270, Code: BTN_TR, State: 1
[keita] Timestamp: 2025-10-29 15:33:22.873270, Code: BTN_NORTH, State: 1
[jin] Timestamp: 2025-10-29 15:33:23.101363, Code: ABS_HAT0X, State: 1
[keita] Timestamp: 2025-10-29 15:33:23.321172, Code: BTN_WEST, State: 1
[jin] Timestamp: 2025-10-29 15:33:23.412747, Code: BTN_NORTH, State: 1
[jin] Timestamp: 2025-10-29 15:33:23.546751, Code: BTN_NORTH, State: 1
[jin] Timestamp: 2025-10-29 15:33:23.700168, Code: BTN_NORTH, State: 1
[keita] Timestamp: 2025-10-29 15:33:23.740637, Code: BTN_WEST, State: 1
[jin] Timestamp: 2025-10-29 15:33:23.930885, Code: ABS_HAT0X, State: 1
[keita] Timestamp: 2025-10-29 15:33:23.936879, Code: BTN_WEST, State: 1
[jin] Timestamp: 2025-10-29 15:33:23.993818, Code: ABS_HAT0Y, State: 1
[keita] Timestamp: 2025-10-29 15:33:24.116707, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:33:24.341471, Code: BTN_WEST, State: 1
[jin] Timestamp: 2025-10-29 15:33:24.352460, Code: ABS_HAT0Y, State: -1
[jin] Timestamp: 2025-10-29 15:33:24.380430, Code: ABS_HAT0X, State: -1
[keita] Timestamp: 2025-10-29 15:33:24.525278, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:33:24.705090, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:33:25.057202, Code: BTN_WEST, State: 1
[jin] Timestamp: 2025-10-29 15:33:25.082177, Code: ABS_HAT0X, State: 1
[keita] Timestamp: 2025-10-29 15:33:25.225124, Code: BTN_WEST, State: 1
[jin] Timestamp: 2025-10-29 15:33:25.241084, Code: ABS_HAT0X, State: -1
[jin] Timestamp: 2025-10-29 15:33:25.274049, Code: ABS_HAT0Y, State: 1
[jin] Timestamp: 2025-10-29 15:33:25.370120, Code: BTN_EAST, State: 1
[keita] Timestamp: 2025-10-29 15:33:25.433076, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:33:25.657117, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:33:25.812994, Code: BTN_WEST, State: 1
[jin] Timestamp: 2025-10-29 15:33:25.932376, Code: ABS_HAT0Y, State: 1
[jin] Timestamp: 2025-10-29 15:33:25.945871, Code: BTN_SOUTH, State: 1
[keita] Timestamp: 2025-10-29 15:33:25.992821, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:33:26.132675, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:33:26.317536, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:33:26.664667, Code: BTN_NORTH, State: 1
[jin] Timestamp: 2025-10-29 15:33:26.784555, Code: BTN_EAST, State: 1
[jin] Timestamp: 2025-10-29 15:33:27.004898, Code: BTN_EAST, State: 1
[keita] Timestamp: 2025-10-29 15:33:27.129115, Code: BTN_NORTH, State: 1
[keita] Timestamp: 2025-10-29 15:33:27.296795, Code: BTN_NORTH, State: 1
[jin] Timestamp: 2025-10-29 15:33:27.442853, Code: BTN_TR, State: 1
[keita] Timestamp: 2025-10-29 15:33:27.476576, Code: BTN_NORTH, State: 1
[jin] Timestamp: 2025-10-29 15:33:27.586536, Code: BTN_TR, State: 1
[keita] Timestamp: 2025-10-29 15:33:27.644724, Code: BTN_NORTH, State: 1
[jin] Timestamp: 2025-10-29 15:33:27.730979, Code: BTN_TR, State: 1
[keita] Timestamp: 2025-10-29 15:33:27.828980, Code: BTN_NORTH, State: 1
[keita] Timestamp: 2025-10-29 15:33:27.980983, Code: BTN_NORTH, State: 1
[keita] Timestamp: 2025-10-29 15:33:28.093231, Code: BTN_NORTH, State: 1
[keita] Timestamp: 2025-10-29 15:33:28.416921, Code: BTN_NORTH, State: 1
[jin] Timestamp: 2025-10-29 15:33:28.890437, Code: ABS_HAT0X, State: -1
[jin] Timestamp: 2025-10-29 15:33:28.897431, Code: ABS_HAT0Y, State: 1
[jin] Timestamp: 2025-10-29 15:33:29.244251, Code: BTN_SOUTH, State: 1
[keita] Timestamp: 2025-10-29 15:33:29.245252, Code: BTN_WEST, State: 1
[jin] Timestamp: 2025-10-29 15:33:29.362825, Code: BTN_SOUTH, State: 1
[jin] Timestamp: 2025-10-29 15:33:29.472412, Code: BTN_SOUTH, State: 1
[keita] Timestamp: 2025-10-29 15:33:29.537043, Code: BTN_WEST, State: 1
[jin] Timestamp: 2025-10-29 15:33:29.563600, Code: BTN_SOUTH, State: 1
[jin] Timestamp: 2025-10-29 15:33:29.625653, Code: ABS_HAT0X, State: 1
[jin] Timestamp: 2025-10-29 15:33:29.655630, Code: BTN_SOUTH, State: 1
[keita] Timestamp: 2025-10-29 15:33:29.692478, Code: BTN_WEST, State: 1
[jin] Timestamp: 2025-10-29 15:33:29.768672, Code: BTN_SOUTH, State: 1
[keita] Timestamp: 2025-10-29 15:33:29.860528, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:33:30.013308, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:33:30.237033, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:33:30.365419, Code: BTN_NORTH, State: 1
[keita] Timestamp: 2025-10-29 15:33:30.545231, Code: BTN_NORTH, State: 1
[keita] Timestamp: 2025-10-29 15:33:30.741055, Code: BTN_NORTH, State: 1
[keita] Timestamp: 2025-10-29 15:33:30.909401, Code: BTN_NORTH, State: 1
[jin] Timestamp: 2025-10-29 15:33:31.112695, Code: BTN_EAST, State: 1
[jin] Timestamp: 2025-10-29 15:33:31.324970, Code: BTN_EAST, State: 1
[jin] Timestamp: 2025-10-29 15:33:31.505629, Code: BTN_EAST, State: 1
[jin] Timestamp: 2025-10-29 15:33:31.656550, Code: BTN_EAST, State: 1
[jin] Timestamp: 2025-10-29 15:33:31.793819, Code: BTN_EAST, State: 1
[jin] Timestamp: 2025-10-29 15:33:32.312023, Code: ABS_HAT0Y, State: -1
[keita] Timestamp: 2025-10-29 15:33:32.380950, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:33:32.521311, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:33:32.757077, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:33:32.884943, Code: BTN_WEST, State: 1
[jin] Timestamp: 2025-10-29 15:33:33.016805, Code: ABS_HAT0Y, State: 1
[jin] Timestamp: 2025-10-29 15:33:33.020801, Code: ABS_HAT0X, State: 1
[keita] Timestamp: 2025-10-29 15:33:33.092725, Code: BTN_WEST, State: 1
[jin] Timestamp: 2025-10-29 15:33:33.206606, Code: ABS_HAT0Y, State: -1
[keita] Timestamp: 2025-10-29 15:33:33.821078, Code: BTN_WEST, State: 1
[jin] Timestamp: 2025-10-29 15:33:33.996083, Code: ABS_HAT0X, State: 1
[keita] Timestamp: 2025-10-29 15:33:34.005054, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:33:34.017041, Code: BTN_THUMBL, State: 1
[keita] Timestamp: 2025-10-29 15:33:34.172343, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:33:34.297346, Code: BTN_WEST, State: 1
