[jin] Timestamp: 2025-10-29 17:18:29.801312, Code: BTN_SOUTH, State: 1
[koike] Timestamp: 2025-10-29 17:18:34.085893, Code: BTN_SOUTH, State: 1
[jin] Timestamp: 2025-10-29 17:18:36.514864, Code: BTN_EAST, State: 1
[jin] Timestamp: 2025-10-29 17:18:36.559817, Code: BTN_SOUTH, State: 1
[jin] Timestamp: 2025-10-29 17:18:36.777592, Code: BTN_EAST, State: 1
[jin] Timestamp: 2025-10-29 17:18:36.830538, Code: BTN_SOUTH, State: 1
[jin] Timestamp: 2025-10-29 17:18:37.328022, Code: BTN_SOUTH, State: 1
[jin] Timestamp: 2025-10-29 17:18:37.491361, Code: BTN_SOUTH, State: 1
[jin] Timestamp: 2025-10-29 17:18:37.639210, Code: BTN_SOUTH, State: 1
[jin] Timestamp: 2025-10-29 17:18:37.786057, Code: BTN_SOUTH, State: 1
[jin] Timestamp: 2025-10-29 17:18:37.928423, Code: BTN_SOUTH, State: 1
[jin] Timestamp: 2025-10-29 17:18:38.086253, Code: BTN_SOUTH, State: 1
[jin] Timestamp: 2025-10-29 17:18:38.348980, Code: BTN_EAST, State: 1
[jin] Timestamp: 2025-10-29 17:18:38.394936, Code: BTN_SOUTH, State: 1
[koike] Timestamp: 2025-10-29 17:18:44.629033, Code: BTN_NORTH, State: 1
[koike] Timestamp: 2025-10-29 17:18:45.105794, Code: BTN_SOUTH, State: 1
[jin] Timestamp: 2025-10-29 17:18:45.127281, Code: BTN_TL, State: 1
[jin] Timestamp: 2025-10-29 17:18:45.138269, Code: BTN_TR, State: 1
[jin] Timestamp: 2025-10-29 17:18:45.157758, Code: BTN_NORTH, State: 1
[jin] Timestamp: 2025-10-29 17:18:45.167749, Code: BTN_TR, State: 1
[jin] Timestamp: 2025-10-29 17:18:45.198716, Code: BTN_WEST, State: 1
[koike] Timestamp: 2025-10-29 17:18:45.341568, Code: BTN_EAST, State: 1
[jin] Timestamp: 2025-10-29 17:18:48.308196, Code: ABS_HAT0X, State: 1
[jin] Timestamp: 2025-10-29 17:18:48.611930, Code: ABS_HAT0X, State: -1
[jin] Timestamp: 2025-10-29 17:18:48.745381, Code: ABS_HAT0Y, State: 1
[jin] Timestamp: 2025-10-29 17:18:48.791546, Code: ABS_HAT0X, State: 1
[jin] Timestamp: 2025-10-29 17:18:48.941279, Code: ABS_HAT0Y, State: 1
[jin] Timestamp: 2025-10-29 17:18:48.972754, Code: ABS_HAT0X, State: -1
[koike] Timestamp: 2025-10-29 17:18:48.981745, Code: BTN_NORTH, State: 1
[jin] Timestamp: 2025-10-29 17:18:49.147083, Code: ABS_HAT0X, State: 1
[koike] Timestamp: 2025-10-29 17:18:49.177051, Code: BTN_NORTH, State: 1
[jin] Timestamp: 2025-10-29 17:18:49.295928, Code: ABS_HAT0Y, State: -1
[jin] Timestamp: 2025-10-29 17:18:50.063671, Code: ABS_HAT0X, State: -1
[jin] Timestamp: 2025-10-29 17:18:50.534217, Code: ABS_HAT0X, State: -1
[jin] Timestamp: 2025-10-29 17:18:50.676250, Code: ABS_HAT0X, State: 1
[jin] Timestamp: 2025-10-29 17:18:50.907398, Code: ABS_HAT0Y, State: 1
[jin] Timestamp: 2025-10-29 17:18:52.272172, Code: BTN_EAST, State: 1
[jin] Timestamp: 2025-10-29 17:18:52.508964, Code: BTN_EAST, State: 1
[jin] Timestamp: 2025-10-29 17:18:52.676088, Code: BTN_EAST, State: 1
[jin] Timestamp: 2025-10-29 17:18:53.054675, Code: BTN_NORTH, State: 1
[jin] Timestamp: 2025-10-29 17:18:53.248473, Code: ABS_HAT0X, State: 1
[jin] Timestamp: 2025-10-29 17:18:53.332386, Code: ABS_HAT0Y, State: 1
[jin] Timestamp: 2025-10-29 17:18:53.790912, Code: ABS_HAT0X, State: -1
[jin] Timestamp: 2025-10-29 17:18:53.798904, Code: ABS_HAT0Y, State: -1
[koike] Timestamp: 2025-10-29 17:18:54.065642, Code: BTN_NORTH, State: 1
[jin] Timestamp: 2025-10-29 17:18:54.517688, Code: ABS_HAT0X, State: 1
[koike] Timestamp: 2025-10-29 17:18:54.989321, Code: BTN_TR, State: 1
[jin] Timestamp: 2025-10-29 17:18:55.092215, Code: BTN_TL, State: 1
[jin] Timestamp: 2025-10-29 17:18:55.306026, Code: ABS_HAT0X, State: 1
[jin] Timestamp: 2025-10-29 17:18:55.930457, Code: ABS_HAT0X, State: -1
[jin] Timestamp: 2025-10-29 17:18:56.186207, Code: BTN_NORTH, State: 1
[jin] Timestamp: 2025-10-29 17:18:56.291080, Code: BTN_NORTH, State: 1
[jin] Timestamp: 2025-10-29 17:18:56.383460, Code: BTN_NORTH, State: 1
[jin] Timestamp: 2025-10-29 17:18:56.476497, Code: BTN_NORTH, State: 1
[jin] Timestamp: 2025-10-29 17:18:56.575140, Code: BTN_NORTH, State: 1
[jin] Timestamp: 2025-10-29 17:18:56.804429, Code: BTN_NORTH, State: 1
[jin] Timestamp: 2025-10-29 17:18:57.517281, Code: ABS_HAT0X, State: 1
[jin] Timestamp: 2025-10-29 17:18:57.601702, Code: ABS_HAT0Y, State: 1
[jin] Timestamp: 2025-10-29 17:18:57.687614, Code: BTN_TL, State: 1
[jin] Timestamp: 2025-10-29 17:18:58.588267, Code: BTN_TR, State: 1
[jin] Timestamp: 2025-10-29 17:18:59.160792, Code: ABS_HAT0X, State: -1
[jin] Timestamp: 2025-10-29 17:18:59.258813, Code: ABS_HAT0X, State: -1
[jin] Timestamp: 2025-10-29 17:18:59.359726, Code: ABS_HAT0X, State: -1
[koike] Timestamp: 2025-10-29 17:18:59.620963, Code: BTN_NORTH, State: 1
[jin] Timestamp: 2025-10-29 17:18:59.728851, Code: ABS_HAT0X, State: -1
[koike] Timestamp: 2025-10-29 17:18:59.805772, Code: BTN_NORTH, State: 1
[jin] Timestamp: 2025-10-29 17:18:59.926663, Code: ABS_HAT0X, State: 1
[jin] Timestamp: 2025-10-29 17:19:00.544054, Code: BTN_TR, State: 1
[jin] Timestamp: 2025-10-29 17:19:00.669924, Code: BTN_TR, State: 1
[jin] Timestamp: 2025-10-29 17:19:00.809779, Code: ABS_HAT0X, State: 1
[jin] Timestamp: 2025-10-29 17:19:01.341883, Code: ABS_HAT0X, State: -1
[jin] Timestamp: 2025-10-29 17:19:01.669559, Code: ABS_HAT0X, State: 1
[jin] Timestamp: 2025-10-29 17:19:01.853874, Code: ABS_HAT0X, State: -1
[jin] Timestamp: 2025-10-29 17:19:02.019211, Code: ABS_HAT0X, State: 1
[jin] Timestamp: 2025-10-29 17:19:02.255474, Code: ABS_HAT0X, State: -1
[jin] Timestamp: 2025-10-29 17:19:02.491175, Code: BTN_TR, State: 1
[jin] Timestamp: 2025-10-29 17:19:02.654561, Code: ABS_HAT0X, State: 1
[jin] Timestamp: 2025-10-29 17:19:02.795415, Code: ABS_HAT0Y, State: 1
[koike] Timestamp: 2025-10-29 17:19:03.289125, Code: BTN_NORTH, State: 1
[jin] Timestamp: 2025-10-29 17:19:03.292140, Code: ABS_HAT0X, State: -1
[koike] Timestamp: 2025-10-29 17:19:03.472950, Code: BTN_NORTH, State: 1
[jin] Timestamp: 2025-10-29 17:19:03.476946, Code: ABS_HAT0X, State: -1
[koike] Timestamp: 2025-10-29 17:19:03.652764, Code: BTN_NORTH, State: 1
[jin] Timestamp: 2025-10-29 17:19:03.687728, Code: ABS_HAT0X, State: -1
[jin] Timestamp: 2025-10-29 17:19:03.734202, Code: ABS_HAT0Y, State: -1
[jin] Timestamp: 2025-10-29 17:19:04.286661, Code: ABS_HAT0Y, State: 1
[jin] Timestamp: 2025-10-29 17:19:04.288658, Code: ABS_HAT0X, State: 1
[jin] Timestamp: 2025-10-29 17:19:04.481459, Code: BTN_EAST, State: 1
[jin] Timestamp: 2025-10-29 17:19:04.623351, Code: BTN_EAST, State: 1
[koike] Timestamp: 2025-10-29 17:19:04.941056, Code: BTN_NORTH, State: 1
[koike] Timestamp: 2025-10-29 17:19:05.136749, Code: BTN_NORTH, State: 1
[jin] Timestamp: 2025-10-29 17:19:05.244202, Code: BTN_TR, State: 1
[jin] Timestamp: 2025-10-29 17:19:05.410055, Code: ABS_HAT0X, State: 1
[jin] Timestamp: 2025-10-29 17:19:05.428036, Code: ABS_HAT0Y, State: 1
[jin] Timestamp: 2025-10-29 17:19:06.324678, Code: BTN_TR, State: 1
