[jin] Timestamp: 2025-10-29 17:22:26.751514, Code: BTN_SOUTH, State: 1
[koike] Timestamp: 2025-10-29 17:22:28.386859, Code: BTN_SOUTH, State: 1
[jin] Timestamp: 2025-10-29 17:22:31.403316, Code: ABS_HAT0X, State: -1
[jin] Timestamp: 2025-10-29 17:22:31.572156, Code: ABS_HAT0X, State: 1
[jin] Timestamp: 2025-10-29 17:22:31.815903, Code: ABS_HAT0X, State: -1
[jin] Timestamp: 2025-10-29 17:22:31.952762, Code: ABS_HAT0Y, State: 1
[jin] Timestamp: 2025-10-29 17:22:32.228477, Code: BTN_TR, State: 1
[jin] Timestamp: 2025-10-29 17:22:32.448265, Code: ABS_HAT0X, State: -1
[jin] Timestamp: 2025-10-29 17:22:32.914003, Code: ABS_HAT0X, State: 1
[jin] Timestamp: 2025-10-29 17:22:33.007003, Code: ABS_HAT0X, State: 1
[jin] Timestamp: 2025-10-29 17:22:33.259059, Code: ABS_HAT0X, State: 1
[jin] Timestamp: 2025-10-29 17:22:33.299917, Code: BTN_TL, State: 1
[jin] Timestamp: 2025-10-29 17:22:33.334506, Code: ABS_HAT0X, State: 1
[jin] Timestamp: 2025-10-29 17:22:33.440904, Code: ABS_HAT0X, State: 1
[jin] Timestamp: 2025-10-29 17:22:34.338990, Code: ABS_HAT0X, State: -1
[jin] Timestamp: 2025-10-29 17:22:34.807374, Code: BTN_NORTH, State: 1
[jin] Timestamp: 2025-10-29 17:22:34.981068, Code: BTN_NORTH, State: 1
[jin] Timestamp: 2025-10-29 17:22:35.296633, Code: ABS_HAT0X, State: -1
[jin] Timestamp: 2025-10-29 17:22:35.857560, Code: ABS_HAT0Y, State: 1
[jin] Timestamp: 2025-10-29 17:22:35.988425, Code: BTN_TL, State: 1
[jin] Timestamp: 2025-10-29 17:22:36.980371, Code: ABS_HAT0X, State: 1
[jin] Timestamp: 2025-10-29 17:22:37.169258, Code: BTN_TR, State: 1
[jin] Timestamp: 2025-10-29 17:22:37.325887, Code: ABS_HAT0X, State: -1
[jin] Timestamp: 2025-10-29 17:22:37.966428, Code: ABS_HAT0X, State: 1
[jin] Timestamp: 2025-10-29 17:22:38.300634, Code: ABS_HAT0X, State: -1
[koike] Timestamp: 2025-10-29 17:22:38.310623, Code: BTN_NORTH, State: 1
[koike] Timestamp: 2025-10-29 17:22:38.466462, Code: BTN_NORTH, State: 1
[jin] Timestamp: 2025-10-29 17:22:38.699235, Code: BTN_TR, State: 1
[jin] Timestamp: 2025-10-29 17:22:38.872057, Code: ABS_HAT0X, State: -1
[jin] Timestamp: 2025-10-29 17:22:39.231322, Code: BTN_TR, State: 1
[jin] Timestamp: 2025-10-29 17:22:39.375780, Code: BTN_TR, State: 1
[jin] Timestamp: 2025-10-29 17:22:39.439542, Code: ABS_HAT0X, State: -1
[koike] Timestamp: 2025-10-29 17:22:39.934580, Code: BTN_EAST, State: 1
[koike] Timestamp: 2025-10-29 17:22:40.118390, Code: BTN_EAST, State: 1
[jin] Timestamp: 2025-10-29 17:22:40.266252, Code: ABS_HAT0Y, State: 1
[koike] Timestamp: 2025-10-29 17:22:40.271248, Code: BTN_EAST, State: 1
[koike] Timestamp: 2025-10-29 17:22:40.467045, Code: BTN_EAST, State: 1
[koike] Timestamp: 2025-10-29 17:22:40.622391, Code: BTN_EAST, State: 1
[koike] Timestamp: 2025-10-29 17:22:40.803218, Code: BTN_EAST, State: 1
[koike] Timestamp: 2025-10-29 17:22:40.986537, Code: BTN_EAST, State: 1
[koike] Timestamp: 2025-10-29 17:22:41.587107, Code: BTN_TR, State: 1
[jin] Timestamp: 2025-10-29 17:22:41.599091, Code: BTN_TL, State: 1
[jin] Timestamp: 2025-10-29 17:22:42.121938, Code: BTN_NORTH, State: 1
[jin] Timestamp: 2025-10-29 17:22:42.311741, Code: ABS_HAT0X, State: -1
[jin] Timestamp: 2025-10-29 17:22:42.653388, Code: BTN_TR, State: 1
[jin] Timestamp: 2025-10-29 17:22:42.850199, Code: ABS_HAT0X, State: -1
[jin] Timestamp: 2025-10-29 17:22:43.445873, Code: ABS_HAT0X, State: 1
[jin] Timestamp: 2025-10-29 17:22:43.537613, Code: ABS_HAT0X, State: 1
[jin] Timestamp: 2025-10-29 17:22:43.654490, Code: ABS_HAT0X, State: 1
[jin] Timestamp: 2025-10-29 17:22:43.745396, Code: ABS_HAT0X, State: 1
[jin] Timestamp: 2025-10-29 17:22:43.858603, Code: ABS_HAT0X, State: 1
[jin] Timestamp: 2025-10-29 17:22:44.109865, Code: ABS_HAT0X, State: -1
[jin] Timestamp: 2025-10-29 17:22:44.280717, Code: BTN_NORTH, State: 1
[jin] Timestamp: 2025-10-29 17:22:44.628881, Code: ABS_HAT0Y, State: 1
[jin] Timestamp: 2025-10-29 17:22:44.750768, Code: BTN_EAST, State: 1
[jin] Timestamp: 2025-10-29 17:22:44.922618, Code: BTN_TL, State: 1
[jin] Timestamp: 2025-10-29 17:22:45.391969, Code: BTN_NORTH, State: 1
[jin] Timestamp: 2025-10-29 17:22:45.612377, Code: ABS_HAT0Y, State: 1
[jin] Timestamp: 2025-10-29 17:22:45.815454, Code: BTN_NORTH, State: 1
[jin] Timestamp: 2025-10-29 17:22:45.907864, Code: BTN_NORTH, State: 1
[jin] Timestamp: 2025-10-29 17:22:45.970798, Code: BTN_NORTH, State: 1
[jin] Timestamp: 2025-10-29 17:22:46.031735, Code: ABS_HAT0X, State: 1
[jin] Timestamp: 2025-10-29 17:22:46.146616, Code: BTN_EAST, State: 1
[jin] Timestamp: 2025-10-29 17:22:46.386369, Code: ABS_HAT0X, State: -1
[jin] Timestamp: 2025-10-29 17:22:46.497268, Code: BTN_NORTH, State: 1
[jin] Timestamp: 2025-10-29 17:22:46.768987, Code: BTN_NORTH, State: 1
[jin] Timestamp: 2025-10-29 17:22:46.942316, Code: BTN_NORTH, State: 1
[jin] Timestamp: 2025-10-29 17:22:47.231178, Code: ABS_HAT0X, State: -1
[jin] Timestamp: 2025-10-29 17:22:47.749249, Code: ABS_HAT0X, State: 1
[jin] Timestamp: 2025-10-29 17:22:47.975357, Code: ABS_HAT0X, State: -1
[jin] Timestamp: 2025-10-29 17:22:48.247092, Code: ABS_HAT0X, State: -1
[jin] Timestamp: 2025-10-29 17:22:48.501336, Code: BTN_TR, State: 1
[jin] Timestamp: 2025-10-29 17:22:48.671176, Code: ABS_HAT0X, State: -1
[jin] Timestamp: 2025-10-29 17:22:49.063277, Code: ABS_HAT0X, State: 1
[jin] Timestamp: 2025-10-29 17:22:49.171180, Code: ABS_HAT0X, State: 1
[jin] Timestamp: 2025-10-29 17:22:49.268080, Code: ABS_HAT0X, State: 1
[jin] Timestamp: 2025-10-29 17:22:49.694238, Code: ABS_HAT0X, State: -1
[jin] Timestamp: 2025-10-29 17:22:49.915529, Code: ABS_HAT0X, State: 1
[jin] Timestamp: 2025-10-29 17:22:50.039402, Code: ABS_HAT0X, State: -1
[jin] Timestamp: 2025-10-29 17:22:50.382061, Code: BTN_TR, State: 1
[jin] Timestamp: 2025-10-29 17:22:50.598344, Code: ABS_HAT0X, State: -1
[jin] Timestamp: 2025-10-29 17:22:51.003446, Code: ABS_HAT0X, State: 1
[jin] Timestamp: 2025-10-29 17:22:51.107339, Code: ABS_HAT0X, State: 1
[jin] Timestamp: 2025-10-29 17:22:51.226862, Code: ABS_HAT0X, State: 1
[jin] Timestamp: 2025-10-29 17:22:51.639585, Code: ABS_HAT0Y, State: 1
[jin] Timestamp: 2025-10-29 17:22:51.712510, Code: ABS_HAT0X, State: 1
[jin] Timestamp: 2025-10-29 17:22:51.778876, Code: BTN_NORTH, State: 1
[jin] Timestamp: 2025-10-29 17:22:52.053865, Code: ABS_HAT0X, State: -1
[jin] Timestamp: 2025-10-29 17:22:53.029525, Code: BTN_NORTH, State: 1
[jin] Timestamp: 2025-10-29 17:22:53.185364, Code: ABS_HAT0X, State: -1
[koike] Timestamp: 2025-10-29 17:22:53.378463, Code: BTN_TR, State: 1
[jin] Timestamp: 2025-10-29 17:22:53.478359, Code: BTN_TR, State: 1
[jin] Timestamp: 2025-10-29 17:22:53.651180, Code: ABS_HAT0X, State: -1
[jin] Timestamp: 2025-10-29 17:22:54.276091, Code: BTN_TR, State: 1
[jin] Timestamp: 2025-10-29 17:22:54.537330, Code: ABS_HAT0X, State: -1
[jin] Timestamp: 2025-10-29 17:22:55.121249, Code: ABS_HAT0X, State: 1
[jin] Timestamp: 2025-10-29 17:22:55.223651, Code: ABS_HAT0X, State: 1
[jin] Timestamp: 2025-10-29 17:22:55.630705, Code: ABS_HAT0X, State: 1
[jin] Timestamp: 2025-10-29 17:22:56.002224, Code: BTN_SOUTH, State: 1
[jin] Timestamp: 2025-10-29 17:22:56.831612, Code: ABS_HAT0X, State: 1
[jin] Timestamp: 2025-10-29 17:22:57.012424, Code: BTN_TR, State: 1
[jin] Timestamp: 2025-10-29 17:22:57.218212, Code: ABS_HAT0X, State: -1
[koike] Timestamp: 2025-10-29 17:22:57.367070, Code: BTN_TR, State: 1
[jin] Timestamp: 2025-10-29 17:22:57.702208, Code: ABS_HAT0X, State: 1
[koike] Timestamp: 2025-10-29 17:22:58.306424, Code: BTN_TR, State: 1
[jin] Timestamp: 2025-10-29 17:22:58.341898, Code: ABS_HAT0X, State: -1
[jin] Timestamp: 2025-10-29 17:22:58.355883, Code: ABS_HAT0Y, State: 1
[jin] Timestamp: 2025-10-29 17:22:58.990228, Code: ABS_HAT0X, State: 1
[jin] Timestamp: 2025-10-29 17:22:59.252975, Code: BTN_SOUTH, State: 1
[jin] Timestamp: 2025-10-29 17:23:00.124217, Code: ABS_HAT0X, State: 1
[jin] Timestamp: 2025-10-29 17:23:00.326559, Code: ABS_HAT0X, State: -1
[jin] Timestamp: 2025-10-29 17:23:00.478402, Code: BTN_TR, State: 1
[jin] Timestamp: 2025-10-29 17:23:00.734137, Code: ABS_HAT0X, State: -1
[koike] Timestamp: 2025-10-29 17:23:00.827054, Code: BTN_EAST, State: 1
[jin] Timestamp: 2025-10-29 17:23:00.962914, Code: ABS_HAT0Y, State: 1
[koike] Timestamp: 2025-10-29 17:23:00.994880, Code: BTN_EAST, State: 1
[koike] Timestamp: 2025-10-29 17:23:01.162707, Code: BTN_EAST, State: 1
[koike] Timestamp: 2025-10-29 17:23:01.330533, Code: BTN_EAST, State: 1
[koike] Timestamp: 2025-10-29 17:23:01.510347, Code: BTN_EAST, State: 1
[koike] Timestamp: 2025-10-29 17:23:01.678873, Code: BTN_EAST, State: 1
[jin] Timestamp: 2025-10-29 17:23:02.411197, Code: BTN_TL, State: 1
[koike] Timestamp: 2025-10-29 17:23:02.770446, Code: BTN_SOUTH, State: 1
[jin] Timestamp: 2025-10-29 17:23:02.871861, Code: ABS_HAT0X, State: 1
[koike] Timestamp: 2025-10-29 17:23:02.966273, Code: BTN_SOUTH, State: 1
[jin] Timestamp: 2025-10-29 17:23:03.055705, Code: ABS_HAT0Y, State: 1
[jin] Timestamp: 2025-10-29 17:23:03.098659, Code: BTN_SOUTH, State: 1
[koike] Timestamp: 2025-10-29 17:23:03.150605, Code: BTN_SOUTH, State: 1
[jin] Timestamp: 2025-10-29 17:23:03.226527, Code: BTN_SOUTH, State: 1
[koike] Timestamp: 2025-10-29 17:23:03.330940, Code: BTN_SOUTH, State: 1
[jin] Timestamp: 2025-10-29 17:23:03.356916, Code: BTN_SOUTH, State: 1
[koike] Timestamp: 2025-10-29 17:23:03.498781, Code: BTN_SOUTH, State: 1
[koike] Timestamp: 2025-10-29 17:23:03.682885, Code: BTN_SOUTH, State: 1
[koike] Timestamp: 2025-10-29 17:23:03.879090, Code: BTN_SOUTH, State: 1
[jin] Timestamp: 2025-10-29 17:23:04.449088, Code: BTN_NORTH, State: 1
[koike] Timestamp: 2025-10-29 17:23:04.691052, Code: BTN_TR, State: 1
[jin] Timestamp: 2025-10-29 17:23:04.832922, Code: ABS_HAT0X, State: -1
