[jin] Timestamp: 2025-10-29 15:15:04.082327, Code: ABS_HAT0X, State: 1
[jin] Timestamp: 2025-10-29 15:15:05.691974, Code: BTN_TL, State: 1
[jin] Timestamp: 2025-10-29 15:15:05.704961, Code: BTN_TR, State: 1
[jin] Timestamp: 2025-10-29 15:15:05.723449, Code: BTN_NORTH, State: 1
[jin] Timestamp: 2025-10-29 15:15:05.740431, Code: BTN_TR, State: 1
[jin] Timestamp: 2025-10-29 15:15:05.749422, Code: BTN_NORTH, State: 1
[jin] Timestamp: 2025-10-29 15:15:05.768909, Code: BTN_WEST, State: 1
[jin] Timestamp: 2025-10-29 15:15:13.558192, Code: ABS_HAT0X, State: 1
[jin] Timestamp: 2025-10-29 15:15:13.823559, Code: ABS_HAT0X, State: -1
[kota] Timestamp: 2025-10-29 15:15:13.908584, Code: BTN_SOUTH, State: 1
[jin] Timestamp: 2025-10-29 15:15:14.037374, Code: ABS_HAT0X, State: 1
[jin] Timestamp: 2025-10-29 15:15:15.910813, Code: ABS_HAT0X, State: -1
[jin] Timestamp: 2025-10-29 15:15:15.956871, Code: ABS_HAT0Y, State: 1
[jin] Timestamp: 2025-10-29 15:15:16.132810, Code: BTN_EAST, State: 1
[jin] Timestamp: 2025-10-29 15:15:16.297043, Code: BTN_TL, State: 1
[kota] Timestamp: 2025-10-29 15:15:16.540006, Code: BTN_EAST, State: 1
[jin] Timestamp: 2025-10-29 15:15:16.597101, Code: ABS_HAT0X, State: -1
[jin] Timestamp: 2025-10-29 15:15:16.799385, Code: ABS_HAT0X, State: 1
[jin] Timestamp: 2025-10-29 15:15:16.811426, Code: ABS_HAT0Y, State: -1
[jin] Timestamp: 2025-10-29 15:15:17.626783, Code: ABS_HAT0X, State: -1
[jin] Timestamp: 2025-10-29 15:15:17.794819, Code: ABS_HAT0Y, State: 1
[jin] Timestamp: 2025-10-29 15:15:17.859309, Code: ABS_HAT0X, State: -1
[jin] Timestamp: 2025-10-29 15:15:17.886279, Code: BTN_EAST, State: 1
[jin] Timestamp: 2025-10-29 15:15:18.071552, Code: BTN_TL, State: 1
[jin] Timestamp: 2025-10-29 15:15:18.502188, Code: BTN_EAST, State: 1
[jin] Timestamp: 2025-10-29 15:15:18.732590, Code: ABS_HAT0X, State: -1
[kota] Timestamp: 2025-10-29 15:15:18.848183, Code: BTN_TR, State: 1
[jin] Timestamp: 2025-10-29 15:15:19.183099, Code: ABS_HAT0Y, State: 1
[kota] Timestamp: 2025-10-29 15:15:19.184097, Code: BTN_WEST, State: 1
[jin] Timestamp: 2025-10-29 15:15:19.249606, Code: ABS_HAT0X, State: 1
[jin] Timestamp: 2025-10-29 15:15:19.380408, Code: BTN_EAST, State: 1
[kota] Timestamp: 2025-10-29 15:15:19.424092, Code: BTN_WEST, State: 1
[kota] Timestamp: 2025-10-29 15:15:19.675657, Code: BTN_WEST, State: 1
[jin] Timestamp: 2025-10-29 15:15:19.766539, Code: ABS_HAT0X, State: -1
[kota] Timestamp: 2025-10-29 15:15:19.884536, Code: BTN_WEST, State: 1
[jin] Timestamp: 2025-10-29 15:15:20.119454, Code: ABS_HAT0X, State: 1
[jin] Timestamp: 2025-10-29 15:15:20.203056, Code: ABS_HAT0X, State: 1
[kota] Timestamp: 2025-10-29 15:15:20.248008, Code: BTN_WEST, State: 1
[kota] Timestamp: 2025-10-29 15:15:20.488066, Code: BTN_WEST, State: 1
[jin] Timestamp: 2025-10-29 15:15:20.544194, Code: BTN_NORTH, State: 1
[jin] Timestamp: 2025-10-29 15:15:20.736080, Code: ABS_HAT0Y, State: 1
[jin] Timestamp: 2025-10-29 15:15:20.738081, Code: ABS_HAT0X, State: -1
[kota] Timestamp: 2025-10-29 15:15:20.908101, Code: BTN_WEST, State: 1
[jin] Timestamp: 2025-10-29 15:15:21.056718, Code: BTN_NORTH, State: 1
[jin] Timestamp: 2025-10-29 15:15:21.401016, Code: ABS_HAT0Y, State: 1
[jin] Timestamp: 2025-10-29 15:15:21.570028, Code: BTN_NORTH, State: 1
[jin] Timestamp: 2025-10-29 15:15:21.879826, Code: ABS_HAT0X, State: -1
[jin] Timestamp: 2025-10-29 15:15:22.002893, Code: ABS_HAT0Y, State: 1
[jin] Timestamp: 2025-10-29 15:15:22.085046, Code: BTN_EAST, State: 1
[jin] Timestamp: 2025-10-29 15:15:22.387717, Code: ABS_HAT0X, State: -1
[kota] Timestamp: 2025-10-29 15:15:22.727877, Code: BTN_SOUTH, State: 1
[jin] Timestamp: 2025-10-29 15:15:22.743874, Code: ABS_HAT0X, State: 1
[jin] Timestamp: 2025-10-29 15:15:22.826649, Code: BTN_TR, State: 1
[jin] Timestamp: 2025-10-29 15:15:22.828166, Code: ABS_HAT0Y, State: 1
[kota] Timestamp: 2025-10-29 15:15:22.935745, Code: BTN_SOUTH, State: 1
[kota] Timestamp: 2025-10-29 15:15:23.243710, Code: BTN_SOUTH, State: 1
[jin] Timestamp: 2025-10-29 15:15:24.043029, Code: ABS_HAT0X, State: 1
[jin] Timestamp: 2025-10-29 15:15:24.078083, Code: BTN_TL, State: 1
[jin] Timestamp: 2025-10-29 15:15:24.137151, Code: ABS_HAT0X, State: 1
[jin] Timestamp: 2025-10-29 15:15:24.231228, Code: ABS_HAT0X, State: 1
[jin] Timestamp: 2025-10-29 15:15:24.338638, Code: ABS_HAT0X, State: 1
[jin] Timestamp: 2025-10-29 15:15:24.586972, Code: BTN_EAST, State: 1
