[jin] Timestamp: 2025-10-29 15:30:19.021349, Code: BTN_SOUTH, State: 1
[kota] Timestamp: 2025-10-29 15:30:19.873742, Code: BTN_SOUTH, State: 1
[jin] Timestamp: 2025-10-29 15:30:23.081484, Code: ABS_HAT0X, State: 1
[jin] Timestamp: 2025-10-29 15:30:23.331463, Code: ABS_HAT0X, State: -1
[kota] Timestamp: 2025-10-29 15:30:23.637272, Code: BTN_TR, State: 1
[jin] Timestamp: 2025-10-29 15:30:23.709604, Code: BTN_EAST, State: 1
[jin] Timestamp: 2025-10-29 15:30:23.862643, Code: ABS_HAT0X, State: -1
[jin] Timestamp: 2025-10-29 15:30:24.314132, Code: ABS_HAT0X, State: 1
[kota] Timestamp: 2025-10-29 15:30:24.953462, Code: BTN_NORTH, State: 1
[jin] Timestamp: 2025-10-29 15:30:25.050362, Code: ABS_HAT0Y, State: -1
[jin] Timestamp: 2025-10-29 15:30:25.522564, Code: BTN_EAST, State: 1
[jin] Timestamp: 2025-10-29 15:30:25.675283, Code: ABS_HAT0X, State: -1
[jin] Timestamp: 2025-10-29 15:30:26.119958, Code: ABS_HAT0X, State: 1
[jin] Timestamp: 2025-10-29 15:30:26.478150, Code: BTN_TR, State: 1
[jin] Timestamp: 2025-10-29 15:30:27.026096, Code: ABS_HAT0X, State: -1
[jin] Timestamp: 2025-10-29 15:30:27.299317, Code: ABS_HAT0Y, State: 1
[kota] Timestamp: 2025-10-29 15:30:27.489309, Code: BTN_TR, State: 1
[kota] Timestamp: 2025-10-29 15:30:27.557541, Code: BTN_THUMBL, State: 1
[kota] Timestamp: 2025-10-29 15:30:27.769125, Code: BTN_TR, State: 1
[jin] Timestamp: 2025-10-29 15:30:28.165002, Code: BTN_EAST, State: 1
[jin] Timestamp: 2025-10-29 15:30:28.513053, Code: ABS_HAT0Y, State: 1
[jin] Timestamp: 2025-10-29 15:30:28.527038, Code: ABS_HAT0X, State: -1
[jin] Timestamp: 2025-10-29 15:30:28.765788, Code: BTN_EAST, State: 1
[jin] Timestamp: 2025-10-29 15:30:28.938607, Code: BTN_TL, State: 1
[jin] Timestamp: 2025-10-29 15:30:29.474174, Code: BTN_EAST, State: 1
[kota] Timestamp: 2025-10-29 15:30:30.037590, Code: BTN_TR, State: 1
[jin] Timestamp: 2025-10-29 15:30:30.047493, Code: BTN_EAST, State: 1
[kota] Timestamp: 2025-10-29 15:30:30.261196, Code: BTN_TR, State: 1
[kota] Timestamp: 2025-10-29 15:30:30.489345, Code: BTN_TR, State: 1
[jin] Timestamp: 2025-10-29 15:30:30.668664, Code: BTN_EAST, State: 1
[kota] Timestamp: 2025-10-29 15:30:30.749579, Code: BTN_TR, State: 1
