[kota] Timestamp: 2025-10-29 15:35:47.045981, Code: BTN_SOUTH, State: 1
[keita] Timestamp: 2025-10-29 15:35:48.757957, Code: BTN_SOUTH, State: 1
[keita] Timestamp: 2025-10-29 15:35:52.525445, Code: BTN_WEST, State: 1
[kota] Timestamp: 2025-10-29 15:35:52.665125, Code: BTN_TL, State: 1
[keita] Timestamp: 2025-10-29 15:35:52.704913, Code: BTN_WEST, State: 1
[kota] Timestamp: 2025-10-29 15:35:52.825654, Code: BTN_SOUTH, State: 1
[keita] Timestamp: 2025-10-29 15:35:52.889148, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:35:53.349472, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:35:53.533208, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:35:53.645305, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:35:53.965248, Code: BTN_NORTH, State: 1
[keita] Timestamp: 2025-10-29 15:35:54.149634, Code: BTN_NORTH, State: 1
[keita] Timestamp: 2025-10-29 15:35:54.245529, Code: BTN_NORTH, State: 1
[keita] Timestamp: 2025-10-29 15:35:54.357079, Code: BTN_NORTH, State: 1
[keita] Timestamp: 2025-10-29 15:35:54.552856, Code: BTN_NORTH, State: 1
[keita] Timestamp: 2025-10-29 15:35:54.777311, Code: BTN_NORTH, State: 1
[keita] Timestamp: 2025-10-29 15:35:55.073385, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:35:55.253264, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:35:55.465645, Code: BTN_WEST, State: 1
[kota] Timestamp: 2025-10-29 15:35:56.425168, Code: BTN_TL, State: 1
[kota] Timestamp: 2025-10-29 15:35:56.461135, Code: BTN_WEST, State: 1
[kota] Timestamp: 2025-10-29 15:35:56.741468, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:35:56.960888, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:35:57.201284, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:35:57.368815, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:35:57.733229, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:35:58.293243, Code: BTN_SOUTH, State: 1
[keita] Timestamp: 2025-10-29 15:35:59.089242, Code: BTN_WEST, State: 1
[kota] Timestamp: 2025-10-29 15:35:59.416956, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:35:59.789237, Code: BTN_NORTH, State: 1
[keita] Timestamp: 2025-10-29 15:36:00.532994, Code: BTN_NORTH, State: 1
[keita] Timestamp: 2025-10-29 15:36:00.712826, Code: BTN_NORTH, State: 1
[keita] Timestamp: 2025-10-29 15:36:00.880672, Code: BTN_NORTH, State: 1
[keita] Timestamp: 2025-10-29 15:36:00.965182, Code: BTN_WEST, State: 1
[kota] Timestamp: 2025-10-29 15:36:01.557713, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:36:01.637175, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:36:01.804661, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:36:01.988647, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:36:02.168806, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:36:02.408909, Code: BTN_NORTH, State: 1
[keita] Timestamp: 2025-10-29 15:36:02.420897, Code: BTN_TR, State: 1
[keita] Timestamp: 2025-10-29 15:36:02.673301, Code: BTN_NORTH, State: 1
[keita] Timestamp: 2025-10-29 15:36:02.868732, Code: BTN_NORTH, State: 1
[keita] Timestamp: 2025-10-29 15:36:03.025076, Code: BTN_NORTH, State: 1
[keita] Timestamp: 2025-10-29 15:36:03.220651, Code: BTN_NORTH, State: 1
[keita] Timestamp: 2025-10-29 15:36:03.317061, Code: BTN_NORTH, State: 1
[keita] Timestamp: 2025-10-29 15:36:03.473476, Code: BTN_NORTH, State: 1
[keita] Timestamp: 2025-10-29 15:36:03.653070, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:36:03.837232, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:36:03.949223, Code: BTN_WEST, State: 1
[kota] Timestamp: 2025-10-29 15:36:04.053181, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:36:04.072712, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:36:04.213530, Code: BTN_WEST, State: 1
[kota] Timestamp: 2025-10-29 15:36:04.268820, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:36:04.425133, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:36:04.564888, Code: BTN_WEST, State: 1
[kota] Timestamp: 2025-10-29 15:36:04.592867, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:36:04.732959, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:36:04.789438, Code: BTN_NORTH, State: 1
[keita] Timestamp: 2025-10-29 15:36:04.997457, Code: BTN_NORTH, State: 1
[keita] Timestamp: 2025-10-29 15:36:05.208798, Code: BTN_NORTH, State: 1
[keita] Timestamp: 2025-10-29 15:36:05.516833, Code: BTN_NORTH, State: 1
[keita] Timestamp: 2025-10-29 15:36:05.684773, Code: BTN_NORTH, State: 1
[keita] Timestamp: 2025-10-29 15:36:05.852869, Code: BTN_NORTH, State: 1
[keita] Timestamp: 2025-10-29 15:36:06.089358, Code: BTN_NORTH, State: 1
[keita] Timestamp: 2025-10-29 15:36:06.144892, Code: BTN_TR, State: 1
[keita] Timestamp: 2025-10-29 15:36:06.160709, Code: BTN_TL, State: 1
[keita] Timestamp: 2025-10-29 15:36:06.160709, Code: BTN_EAST, State: 1
[keita] Timestamp: 2025-10-29 15:36:06.452904, Code: BTN_EAST, State: 1
[keita] Timestamp: 2025-10-29 15:36:06.748588, Code: BTN_EAST, State: 1
[kota] Timestamp: 2025-10-29 15:36:06.897441, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:36:06.916955, Code: BTN_EAST, State: 1
[keita] Timestamp: 2025-10-29 15:36:07.084609, Code: BTN_EAST, State: 1
[keita] Timestamp: 2025-10-29 15:36:07.208988, Code: BTN_EAST, State: 1
