[mutsumi] Timestamp: 2025-10-29 16:57:54.199203, Code: BTN_SOUTH, State: 1
[ozu] Timestamp: 2025-10-29 16:57:55.615241, Code: BTN_SOUTH, State: 1
[ozu] Timestamp: 2025-10-29 16:57:59.423906, Code: BTN_TL, State: 1
[mutsumi] Timestamp: 2025-10-29 16:58:00.355174, Code: BTN_WEST, State: 1
[mutsumi] Timestamp: 2025-10-29 16:58:01.415692, Code: BTN_SOUTH, State: 1
[ozu] Timestamp: 2025-10-29 16:58:01.999089, Code: BTN_SOUTH, State: 1
[ozu] Timestamp: 2025-10-29 16:58:02.727348, Code: BTN_SOUTH, State: 1
[mutsumi] Timestamp: 2025-10-29 16:58:03.012054, Code: BTN_SOUTH, State: 1
[mutsumi] Timestamp: 2025-10-29 16:58:03.655406, Code: BTN_SOUTH, State: 1
[ozu] Timestamp: 2025-10-29 16:58:03.903149, Code: BTN_EAST, State: 1
[mutsumi] Timestamp: 2025-10-29 16:58:05.016013, Code: BTN_EAST, State: 1
[ozu] Timestamp: 2025-10-29 16:58:05.191868, Code: BTN_NORTH, State: 1
[mutsumi] Timestamp: 2025-10-29 16:58:06.095120, Code: BTN_TR, State: 1
[ozu] Timestamp: 2025-10-29 16:58:07.475752, Code: BTN_TR, State: 1
[mutsumi] Timestamp: 2025-10-29 16:58:08.227598, Code: BTN_EAST, State: 1
[ozu] Timestamp: 2025-10-29 16:58:08.315015, Code: BTN_WEST, State: 1
[mutsumi] Timestamp: 2025-10-29 16:58:08.827011, Code: BTN_NORTH, State: 1
[mutsumi] Timestamp: 2025-10-29 16:58:10.303236, Code: BTN_NORTH, State: 1
[ozu] Timestamp: 2025-10-29 16:58:10.567538, Code: BTN_SOUTH, State: 1
[mutsumi] Timestamp: 2025-10-29 16:58:11.899278, Code: BTN_NORTH, State: 1
[ozu] Timestamp: 2025-10-29 16:58:12.023150, Code: BTN_NORTH, State: 1
[ozu] Timestamp: 2025-10-29 16:58:12.190976, Code: BTN_WEST, State: 1
[ozu] Timestamp: 2025-10-29 16:58:12.907279, Code: BTN_WEST, State: 1
[mutsumi] Timestamp: 2025-10-29 16:58:12.979205, Code: BTN_NORTH, State: 1
[ozu] Timestamp: 2025-10-29 16:58:13.747931, Code: BTN_SOUTH, State: 1
[mutsumi] Timestamp: 2025-10-29 16:58:14.291890, Code: BTN_NORTH, State: 1
[ozu] Timestamp: 2025-10-29 16:58:15.271922, Code: BTN_SOUTH, State: 1
[ozu] Timestamp: 2025-10-29 16:58:15.567140, Code: BTN_WEST, State: 1
[mutsumi] Timestamp: 2025-10-29 16:58:16.298903, Code: BTN_NORTH, State: 1
[ozu] Timestamp: 2025-10-29 16:58:16.631078, Code: BTN_SOUTH, State: 1
[mutsumi] Timestamp: 2025-10-29 16:58:16.687020, Code: BTN_NORTH, State: 1
[mutsumi] Timestamp: 2025-10-29 16:58:17.335871, Code: BTN_NORTH, State: 1
