[ozu] Timestamp: 2025-10-29 16:53:27.382486, Code: BTN_SOUTH, State: 1
[koike] Timestamp: 2025-10-29 16:53:28.526937, Code: BTN_SOUTH, State: 1
[koike] Timestamp: 2025-10-29 16:53:31.438657, Code: BTN_NORTH, State: 1
[koike] Timestamp: 2025-10-29 16:53:31.607012, Code: BTN_NORTH, State: 1
[koike] Timestamp: 2025-10-29 16:53:31.774341, Code: BTN_NORTH, State: 1
[koike] Timestamp: 2025-10-29 16:53:31.942690, Code: BTN_NORTH, State: 1
[koike] Timestamp: 2025-10-29 16:53:32.822374, Code: BTN_NORTH, State: 1
[koike] Timestamp: 2025-10-29 16:53:32.990706, Code: BTN_NORTH, State: 1
[koike] Timestamp: 2025-10-29 16:53:35.331004, Code: BTN_EAST, State: 1
[ozu] Timestamp: 2025-10-29 16:53:35.394938, Code: BTN_EAST, State: 1
[koike] Timestamp: 2025-10-29 16:53:35.499336, Code: BTN_EAST, State: 1
[koike] Timestamp: 2025-10-29 16:53:35.654697, Code: BTN_EAST, State: 1
[ozu] Timestamp: 2025-10-29 16:53:35.814532, Code: BTN_NORTH, State: 1
[koike] Timestamp: 2025-10-29 16:53:35.934928, Code: BTN_NORTH, State: 1
[ozu] Timestamp: 2025-10-29 16:53:36.010356, Code: BTN_WEST, State: 1
[koike] Timestamp: 2025-10-29 16:53:36.102279, Code: BTN_NORTH, State: 1
[koike] Timestamp: 2025-10-29 16:53:36.282599, Code: BTN_NORTH, State: 1
[ozu] Timestamp: 2025-10-29 16:53:36.334545, Code: BTN_EAST, State: 1
[ozu] Timestamp: 2025-10-29 16:53:36.370509, Code: BTN_SOUTH, State: 1
[koike] Timestamp: 2025-10-29 16:53:36.506397, Code: BTN_TL, State: 1
[ozu] Timestamp: 2025-10-29 16:53:38.790769, Code: BTN_NORTH, State: 1
[koike] Timestamp: 2025-10-29 16:53:40.342814, Code: BTN_WEST, State: 1
