[ozu] Timestamp: 2025-10-29 17:09:07.711571, Code: BTN_SOUTH, State: 1
[koike] Timestamp: 2025-10-29 17:09:09.311438, Code: BTN_SOUTH, State: 1
[koike] Timestamp: 2025-10-29 17:09:12.811365, Code: BTN_NORTH, State: 1
[ozu] Timestamp: 2025-10-29 17:09:13.907422, Code: BTN_SOUTH, State: 1
[ozu] Timestamp: 2025-10-29 17:09:14.267571, Code: BTN_EAST, State: 1
[ozu] Timestamp: 2025-10-29 17:09:16.107243, Code: BTN_EAST, State: 1
[ozu] Timestamp: 2025-10-29 17:09:17.227636, Code: BTN_SOUTH, State: 1
[ozu] Timestamp: 2025-10-29 17:09:17.227636, Code: BTN_WEST, State: 1
[koike] Timestamp: 2025-10-29 17:09:18.959426, Code: BTN_NORTH, State: 1
[koike] Timestamp: 2025-10-29 17:09:19.128251, Code: BTN_NORTH, State: 1
[ozu] Timestamp: 2025-10-29 17:09:19.344040, Code: BTN_WEST, State: 1
[ozu] Timestamp: 2025-10-29 17:09:21.263274, Code: BTN_WEST, State: 1
[ozu] Timestamp: 2025-10-29 17:09:21.531521, Code: BTN_NORTH, State: 1
[koike] Timestamp: 2025-10-29 17:09:21.787255, Code: BTN_TL, State: 1
[ozu] Timestamp: 2025-10-29 17:09:22.383160, Code: BTN_NORTH, State: 1
[ozu] Timestamp: 2025-10-29 17:09:22.835773, Code: BTN_NORTH, State: 1
[ozu] Timestamp: 2025-10-29 17:09:23.319399, Code: BTN_NORTH, State: 1
[koike] Timestamp: 2025-10-29 17:09:23.680041, Code: BTN_WEST, State: 1
[ozu] Timestamp: 2025-10-29 17:09:23.743973, Code: BTN_NORTH, State: 1
[koike] Timestamp: 2025-10-29 17:09:23.847374, Code: BTN_WEST, State: 1
[ozu] Timestamp: 2025-10-29 17:09:23.931287, Code: BTN_NORTH, State: 1
[ozu] Timestamp: 2025-10-29 17:09:24.347379, Code: BTN_EAST, State: 1
[ozu] Timestamp: 2025-10-29 17:09:24.668061, Code: BTN_EAST, State: 1
[koike] Timestamp: 2025-10-29 17:09:24.951277, Code: BTN_EAST, State: 1
[koike] Timestamp: 2025-10-29 17:09:25.136086, Code: BTN_EAST, State: 1
[ozu] Timestamp: 2025-10-29 17:09:25.232003, Code: BTN_WEST, State: 1
[koike] Timestamp: 2025-10-29 17:09:25.315916, Code: BTN_EAST, State: 1
[koike] Timestamp: 2025-10-29 17:09:25.819572, Code: BTN_TL, State: 1
[koike] Timestamp: 2025-10-29 17:09:25.835556, Code: BTN_THUMBL, State: 1
[ozu] Timestamp: 2025-10-29 17:09:27.671222, Code: BTN_WEST, State: 1
[ozu] Timestamp: 2025-10-29 17:09:29.295249, Code: BTN_NORTH, State: 1
[koike] Timestamp: 2025-10-29 17:09:29.627428, Code: BTN_NORTH, State: 1
[koike] Timestamp: 2025-10-29 17:09:29.811238, Code: BTN_NORTH, State: 1
[koike] Timestamp: 2025-10-29 17:09:29.991053, Code: BTN_NORTH, State: 1
[ozu] Timestamp: 2025-10-29 17:09:30.535520, Code: BTN_NORTH, State: 1
[koike] Timestamp: 2025-10-29 17:09:31.279294, Code: BTN_NORTH, State: 1
[ozu] Timestamp: 2025-10-29 17:09:31.339232, Code: BTN_NORTH, State: 1
[koike] Timestamp: 2025-10-29 17:09:31.447121, Code: BTN_NORTH, State: 1
[koike] Timestamp: 2025-10-29 17:09:32.819756, Code: BTN_NORTH, State: 1
[ozu] Timestamp: 2025-10-29 17:09:33.039038, Code: BTN_WEST, State: 1
[ozu] Timestamp: 2025-10-29 17:09:33.560023, Code: BTN_SOUTH, State: 1
[koike] Timestamp: 2025-10-29 17:09:34.599990, Code: BTN_SOUTH, State: 1
[koike] Timestamp: 2025-10-29 17:09:34.795312, Code: BTN_SOUTH, State: 1
[koike] Timestamp: 2025-10-29 17:09:34.919182, Code: BTN_SOUTH, State: 1
[ozu] Timestamp: 2025-10-29 17:09:34.983116, Code: BTN_WEST, State: 1
[koike] Timestamp: 2025-10-29 17:09:35.131962, Code: BTN_SOUTH, State: 1
