[ozu] Timestamp: 2025-10-29 17:12:41.849068, Code: BTN_SOUTH, State: 1
[mutsumi] Timestamp: 2025-10-29 17:12:45.133220, Code: BTN_SOUTH, State: 1
[mutsumi] Timestamp: 2025-10-29 17:12:49.625867, Code: BTN_TR, State: 1
[mutsumi] Timestamp: 2025-10-29 17:12:50.536965, Code: BTN_TR, State: 1
[ozu] Timestamp: 2025-10-29 17:12:50.697308, Code: BTN_EAST, State: 1
[ozu] Timestamp: 2025-10-29 17:12:51.713301, Code: BTN_EAST, State: 1
[ozu] Timestamp: 2025-10-29 17:12:52.361658, Code: BTN_EAST, State: 1
[ozu] Timestamp: 2025-10-29 17:12:53.285253, Code: BTN_EAST, State: 1
[mutsumi] Timestamp: 2025-10-29 17:12:53.532998, Code: BTN_EAST, State: 1
[ozu] Timestamp: 2025-10-29 17:12:54.709825, Code: BTN_EAST, State: 1
[mutsumi] Timestamp: 2025-10-29 17:12:54.989550, Code: BTN_NORTH, State: 1
[mutsumi] Timestamp: 2025-10-29 17:12:55.493054, Code: BTN_NORTH, State: 1
[mutsumi] Timestamp: 2025-10-29 17:12:55.632909, Code: BTN_NORTH, State: 1
[ozu] Timestamp: 2025-10-29 17:12:56.461591, Code: BTN_NORTH, State: 1
[mutsumi] Timestamp: 2025-10-29 17:12:56.668883, Code: BTN_NORTH, State: 1
[ozu] Timestamp: 2025-10-29 17:12:56.672879, Code: BTN_NORTH, State: 1
[ozu] Timestamp: 2025-10-29 17:12:57.373195, Code: BTN_WEST, State: 1
[mutsumi] Timestamp: 2025-10-29 17:12:58.321733, Code: BTN_NORTH, State: 1
[mutsumi] Timestamp: 2025-10-29 17:12:58.489573, Code: BTN_NORTH, State: 1
[mutsumi] Timestamp: 2025-10-29 17:12:58.616948, Code: BTN_NORTH, State: 1
[ozu] Timestamp: 2025-10-29 17:12:59.176968, Code: BTN_SOUTH, State: 1
[mutsumi] Timestamp: 2025-10-29 17:12:59.525650, Code: BTN_WEST, State: 1
[mutsumi] Timestamp: 2025-10-29 17:12:59.933766, Code: BTN_WEST, State: 1
[mutsumi] Timestamp: 2025-10-29 17:13:00.101607, Code: BTN_WEST, State: 1
[mutsumi] Timestamp: 2025-10-29 17:13:00.420811, Code: BTN_SOUTH, State: 1
[mutsumi] Timestamp: 2025-10-29 17:13:00.813421, Code: BTN_EAST, State: 1
[ozu] Timestamp: 2025-10-29 17:13:01.493717, Code: BTN_EAST, State: 1
[ozu] Timestamp: 2025-10-29 17:13:01.809408, Code: BTN_NORTH, State: 1
[mutsumi] Timestamp: 2025-10-29 17:13:02.340857, Code: BTN_NORTH, State: 1
[ozu] Timestamp: 2025-10-29 17:13:02.488704, Code: BTN_EAST, State: 1
[mutsumi] Timestamp: 2025-10-29 17:13:02.537667, Code: BTN_NORTH, State: 1
[mutsumi] Timestamp: 2025-10-29 17:13:02.872862, Code: BTN_SOUTH, State: 1
[ozu] Timestamp: 2025-10-29 17:13:02.896838, Code: BTN_NORTH, State: 1
[mutsumi] Timestamp: 2025-10-29 17:13:03.097644, Code: BTN_SOUTH, State: 1
[ozu] Timestamp: 2025-10-29 17:13:03.105635, Code: BTN_NORTH, State: 1
[ozu] Timestamp: 2025-10-29 17:13:03.528733, Code: BTN_EAST, State: 1
[mutsumi] Timestamp: 2025-10-29 17:13:03.809487, Code: BTN_NORTH, State: 1
[ozu] Timestamp: 2025-10-29 17:13:04.496804, Code: BTN_NORTH, State: 1
[ozu] Timestamp: 2025-10-29 17:13:04.617680, Code: BTN_WEST, State: 1
[mutsumi] Timestamp: 2025-10-29 17:13:04.861441, Code: BTN_NORTH, State: 1
[ozu] Timestamp: 2025-10-29 17:13:05.117177, Code: BTN_SOUTH, State: 1
[mutsumi] Timestamp: 2025-10-29 17:13:06.861412, Code: BTN_TR, State: 1
[ozu] Timestamp: 2025-10-29 17:13:06.881391, Code: BTN_WEST, State: 1
[ozu] Timestamp: 2025-10-29 17:13:07.089176, Code: BTN_NORTH, State: 1
[ozu] Timestamp: 2025-10-29 17:13:07.332925, Code: BTN_NORTH, State: 1
[ozu] Timestamp: 2025-10-29 17:13:07.653116, Code: BTN_NORTH, State: 1
[ozu] Timestamp: 2025-10-29 17:13:07.816946, Code: BTN_NORTH, State: 1
[ozu] Timestamp: 2025-10-29 17:13:08.577172, Code: BTN_NORTH, State: 1
[mutsumi] Timestamp: 2025-10-29 17:13:08.764977, Code: BTN_TR, State: 1
[ozu] Timestamp: 2025-10-29 17:13:08.784956, Code: BTN_NORTH, State: 1
[ozu] Timestamp: 2025-10-29 17:13:08.896840, Code: BTN_NORTH, State: 1
[ozu] Timestamp: 2025-10-29 17:13:09.457276, Code: BTN_WEST, State: 1
[mutsumi] Timestamp: 2025-10-29 17:13:09.816905, Code: BTN_NORTH, State: 1
[mutsumi] Timestamp: 2025-10-29 17:13:09.996718, Code: BTN_NORTH, State: 1
[ozu] Timestamp: 2025-10-29 17:13:10.145578, Code: BTN_NORTH, State: 1
[mutsumi] Timestamp: 2025-10-29 17:13:10.165557, Code: BTN_NORTH, State: 1
[ozu] Timestamp: 2025-10-29 17:13:10.372862, Code: BTN_WEST, State: 1
[ozu] Timestamp: 2025-10-29 17:13:10.460785, Code: BTN_SOUTH, State: 1
[ozu] Timestamp: 2025-10-29 17:13:10.613627, Code: BTN_NORTH, State: 1
[ozu] Timestamp: 2025-10-29 17:13:10.653093, Code: BTN_EAST, State: 1
[mutsumi] Timestamp: 2025-10-29 17:13:11.132679, Code: BTN_EAST, State: 1
[mutsumi] Timestamp: 2025-10-29 17:13:11.329491, Code: BTN_EAST, State: 1
[mutsumi] Timestamp: 2025-10-29 17:13:11.469347, Code: BTN_EAST, State: 1
[mutsumi] Timestamp: 2025-10-29 17:13:11.609202, Code: BTN_EAST, State: 1
[mutsumi] Timestamp: 2025-10-29 17:13:11.761046, Code: BTN_EAST, State: 1
[mutsumi] Timestamp: 2025-10-29 17:13:11.888913, Code: BTN_EAST, State: 1
[ozu] Timestamp: 2025-10-29 17:13:12.004793, Code: BTN_WEST, State: 1
[mutsumi] Timestamp: 2025-10-29 17:13:12.057738, Code: BTN_EAST, State: 1
[mutsumi] Timestamp: 2025-10-29 17:13:12.181610, Code: BTN_EAST, State: 1
[ozu] Timestamp: 2025-10-29 17:13:12.317485, Code: BTN_SOUTH, State: 1
[mutsumi] Timestamp: 2025-10-29 17:13:12.908874, Code: BTN_EAST, State: 1
[ozu] Timestamp: 2025-10-29 17:13:13.068707, Code: BTN_EAST, State: 1
[mutsumi] Timestamp: 2025-10-29 17:13:13.120653, Code: BTN_EAST, State: 1
[ozu] Timestamp: 2025-10-29 17:13:13.249536, Code: BTN_EAST, State: 1
[mutsumi] Timestamp: 2025-10-29 17:13:13.301481, Code: BTN_EAST, State: 1
[ozu] Timestamp: 2025-10-29 17:13:13.636670, Code: BTN_NORTH, State: 1
[ozu] Timestamp: 2025-10-29 17:13:13.917396, Code: BTN_SOUTH, State: 1
[ozu] Timestamp: 2025-10-29 17:13:14.069239, Code: BTN_SOUTH, State: 1
[ozu] Timestamp: 2025-10-29 17:13:14.241061, Code: BTN_SOUTH, State: 1
[ozu] Timestamp: 2025-10-29 17:13:14.676612, Code: BTN_SOUTH, State: 1
[mutsumi] Timestamp: 2025-10-29 17:13:14.745048, Code: BTN_NORTH, State: 1
[ozu] Timestamp: 2025-10-29 17:13:14.957336, Code: BTN_SOUTH, State: 1
[mutsumi] Timestamp: 2025-10-29 17:13:16.145123, Code: BTN_WEST, State: 1
[ozu] Timestamp: 2025-10-29 17:13:16.480777, Code: BTN_SOUTH, State: 1
[ozu] Timestamp: 2025-10-29 17:13:16.664585, Code: BTN_SOUTH, State: 1
[mutsumi] Timestamp: 2025-10-29 17:13:17.013239, Code: BTN_WEST, State: 1
[ozu] Timestamp: 2025-10-29 17:13:17.053198, Code: BTN_SOUTH, State: 1
[ozu] Timestamp: 2025-10-29 17:13:17.493741, Code: BTN_NORTH, State: 1
[mutsumi] Timestamp: 2025-10-29 17:13:17.500734, Code: BTN_WEST, State: 1
[ozu] Timestamp: 2025-10-29 17:13:17.981252, Code: BTN_NORTH, State: 1
[mutsumi] Timestamp: 2025-10-29 17:13:18.105124, Code: BTN_WEST, State: 1
[mutsumi] Timestamp: 2025-10-29 17:13:18.720994, Code: BTN_WEST, State: 1
[mutsumi] Timestamp: 2025-10-29 17:13:19.265488, Code: BTN_WEST, State: 1
[ozu] Timestamp: 2025-10-29 17:13:19.705034, Code: BTN_SOUTH, State: 1
[ozu] Timestamp: 2025-10-29 17:13:20.824892, Code: BTN_EAST, State: 1
[mutsumi] Timestamp: 2025-10-29 17:13:21.421292, Code: BTN_WEST, State: 1
[mutsumi] Timestamp: 2025-10-29 17:13:21.772929, Code: BTN_WEST, State: 1
[ozu] Timestamp: 2025-10-29 17:13:21.972722, Code: BTN_NORTH, State: 1
[ozu] Timestamp: 2025-10-29 17:13:22.557133, Code: BTN_EAST, State: 1
[mutsumi] Timestamp: 2025-10-29 17:13:23.396785, Code: BTN_WEST, State: 1
[mutsumi] Timestamp: 2025-10-29 17:13:23.620583, Code: BTN_WEST, State: 1
