Timestamp: 2025-10-28 17:52:53.436548, Type: Absolute, Code: ABS_HAT0X, State: -1
Timestamp: 2025-10-28 17:52:53.717262, Type: Absolute, Code: ABS_HAT0X, State: 1
Timestamp: 2025-10-28 17:52:53.917057, Type: Absolute, Code: ABS_HAT0X, State: -1
Timestamp: 2025-10-28 17:52:53.993705, Type: Key, Code: BTN_NORTH, State: 1
Timestamp: 2025-10-28 17:52:54.261145, Type: Absolute, Code: ABS_HAT0Y, State: 1
Timestamp: 2025-10-28 17:52:54.382437, Type: Absolute, Code: ABS_HAT0X, State: 1
Timestamp: 2025-10-28 17:52:55.184797, Type: Key, Code: BTN_EAST, State: 1
Timestamp: 2025-10-28 17:52:55.467508, Type: Key, Code: BTN_EAST, State: 1
Timestamp: 2025-10-28 17:52:55.677293, Type: Key, Code: BTN_EAST, State: 1
Timestamp: 2025-10-28 17:52:55.914329, Type: Key, Code: BTN_EAST, State: 1
Timestamp: 2025-10-28 17:52:56.479932, Type: Absolute, Code: ABS_HAT0Y, State: 1
Timestamp: 2025-10-28 17:52:56.564862, Type: Key, Code: BTN_WEST, State: 1
Timestamp: 2025-10-28 17:52:57.218451, Type: Key, Code: BTN_EAST, State: 1
Timestamp: 2025-10-28 17:52:57.375291, Type: Key, Code: BTN_TL, State: 1
Timestamp: 2025-10-28 17:52:57.819836, Type: Key, Code: BTN_NORTH, State: 1
Timestamp: 2025-10-28 17:52:58.368570, Type: Key, Code: BTN_NORTH, State: 1
Timestamp: 2025-10-28 17:52:58.591305, Type: Absolute, Code: ABS_HAT0Y, State: 1
Timestamp: 2025-10-28 17:52:58.921970, Type: Key, Code: BTN_NORTH, State: 1
Timestamp: 2025-10-28 17:52:59.021868, Type: Absolute, Code: ABS_HAT0X, State: -1
Timestamp: 2025-10-28 17:52:59.165230, Type: Key, Code: BTN_WEST, State: 1
Timestamp: 2025-10-28 17:52:59.365040, Type: Absolute, Code: ABS_HAT0X, State: 1
Timestamp: 2025-10-28 17:52:59.384021, Type: Absolute, Code: ABS_HAT0Y, State: 1
Timestamp: 2025-10-28 17:52:59.840064, Type: Key, Code: BTN_EAST, State: 1
Timestamp: 2025-10-28 17:52:59.981569, Type: Key, Code: BTN_TL, State: 1
Timestamp: 2025-10-28 17:53:00.394822, Type: Key, Code: BTN_NORTH, State: 1
Timestamp: 2025-10-28 17:53:00.561700, Type: Absolute, Code: ABS_HAT0X, State: 1
Timestamp: 2025-10-28 17:53:00.654171, Type: Key, Code: BTN_TR, State: 1
Timestamp: 2025-10-28 17:53:00.737647, Type: Key, Code: BTN_TR, State: 1
Timestamp: 2025-10-28 17:53:00.816673, Type: Key, Code: BTN_TR, State: 1
Timestamp: 2025-10-28 17:53:00.908580, Type: Key, Code: BTN_TR, State: 1
Timestamp: 2025-10-28 17:53:01.006544, Type: Key, Code: BTN_TR, State: 1
Timestamp: 2025-10-28 17:53:01.089458, Type: Absolute, Code: ABS_HAT0Y, State: 1
Timestamp: 2025-10-28 17:53:01.125422, Type: Absolute, Code: ABS_HAT0X, State: -1
Timestamp: 2025-10-28 17:53:02.156941, Type: Absolute, Code: ABS_HAT0Y, State: 1
Timestamp: 2025-10-28 17:53:02.271129, Type: Absolute, Code: ABS_HAT0Y, State: 1
Timestamp: 2025-10-28 17:53:02.376017, Type: Absolute, Code: ABS_HAT0Y, State: 1
Timestamp: 2025-10-28 17:53:02.483936, Type: Absolute, Code: ABS_HAT0Y, State: 1
Timestamp: 2025-10-28 17:53:02.507910, Type: Key, Code: BTN_WEST, State: 1
Timestamp: 2025-10-28 17:53:02.601081, Type: Key, Code: BTN_WEST, State: 1
Timestamp: 2025-10-28 17:53:02.616625, Type: Absolute, Code: ABS_HAT0Y, State: 1
Timestamp: 2025-10-28 17:53:02.694121, Type: Key, Code: BTN_WEST, State: 1
Timestamp: 2025-10-28 17:53:03.291203, Type: Absolute, Code: ABS_HAT0Y, State: 1
Timestamp: 2025-10-28 17:53:03.334160, Type: Absolute, Code: ABS_HAT0X, State: -1
Timestamp: 2025-10-28 17:53:03.441183, Type: Key, Code: BTN_TR, State: 1
Timestamp: 2025-10-28 17:53:03.808342, Type: Absolute, Code: ABS_HAT0X, State: 1
Timestamp: 2025-10-28 17:53:04.527745, Type: Absolute, Code: ABS_HAT0X, State: 1
Timestamp: 2025-10-28 17:53:04.773590, Type: Absolute, Code: ABS_HAT0X, State: -1
Timestamp: 2025-10-28 17:53:05.078326, Type: Absolute, Code: ABS_HAT0Y, State: 1
Timestamp: 2025-10-28 17:53:05.094312, Type: Absolute, Code: ABS_HAT0X, State: 1
Timestamp: 2025-10-28 17:53:10.498121, Type: Key, Code: BTN_EAST, State: 1
Timestamp: 2025-10-28 17:53:10.778532, Type: Key, Code: BTN_EAST, State: 1
Timestamp: 2025-10-28 17:53:11.413894, Type: Absolute, Code: ABS_HAT0Y, State: 1
Timestamp: 2025-10-28 17:53:11.486874, Type: Key, Code: BTN_WEST, State: 1
Timestamp: 2025-10-28 17:53:11.508955, Type: Key, Code: BTN_SOUTH, State: 1
Timestamp: 2025-10-28 17:53:12.539100, Type: Key, Code: BTN_TL, State: 1
Timestamp: 2025-10-28 17:53:13.565248, Type: Absolute, Code: ABS_HAT0X, State: -1
Timestamp: 2025-10-28 17:53:13.580779, Type: Absolute, Code: ABS_HAT0Y, State: -1
Timestamp: 2025-10-28 17:53:14.299635, Type: Absolute, Code: ABS_HAT0X, State: 1
Timestamp: 2025-10-28 17:53:15.063109, Type: Key, Code: BTN_EAST, State: 1
Timestamp: 2025-10-28 17:53:15.284298, Type: Absolute, Code: ABS_HAT0X, State: -1
Timestamp: 2025-10-28 17:53:15.295284, Type: Absolute, Code: ABS_HAT0Y, State: 1
Timestamp: 2025-10-28 17:53:15.404048, Type: Absolute, Code: ABS_HAT0Y, State: 1
Timestamp: 2025-10-28 17:53:15.419050, Type: Absolute, Code: ABS_HAT0X, State: -1
Timestamp: 2025-10-28 17:53:15.481323, Type: Absolute, Code: ABS_HAT0X, State: -1
Timestamp: 2025-10-28 17:53:15.496908, Type: Absolute, Code: ABS_HAT0Y, State: 1
Timestamp: 2025-10-28 17:53:15.591254, Type: Key, Code: BTN_TR, State: 1
Timestamp: 2025-10-28 17:53:15.591254, Type: Key, Code: BTN_NORTH, State: 1
